date,market,queue,nps,csat,ces,aht_sec,repeat_rate,volume,replacements
2026-01-01,UK,tier1,32,4.2,3.8,320,0.12,450,12
2026-01-02,UK,tier1,30,4.1,3.7,335,0.14,423,10
2026-01-03,UK,tier2,28,3.9,3.6,290,0.15,510,15
2026-01-04,UK,tier1,35,4.3,3.9,310,0.11,490,11
2026-01-05,US,tier1,40,4.4,4.1,280,0.1,620,8
2026-01-06,US,tier1,38,4.3,4.0,295,0.12,580,9
2026-01-07,DE,tier1,45,4.6,4.3,265,0.08,380,6
2026-01-08,CZ,tier1,22,3.8,3.5,340,0.18,290,14
2026-01-09,CZ,tier2,18,3.6,3.3,360,0.2,275,16
2026-01-10,UK,tier1,25,3.7,3.4,355,0.17,520,18
2026-01-11,UK,tier2,20,3.5,3.2,380,0.19,548,22
2026-01-12,US,tier1,42,4.5,4.2,275,0.09,650,7
2026-01-13,DE,tier1,48,4.7,4.4,255,0.07,410,5
2026-01-14,CZ,tier1,20,3.7,3.4,350,0.19,310,15
2026-01-15,UK,tier1,33,4.2,3.8,315,0.13,465,11
2026-01-16,UK,tier1,10,3.2,2.9,420,0.25,670,35
2026-01-17,UK,tier1,12,3.3,3.0,410,0.24,720,32
2026-01-18,UK,tier1,28,4.0,3.7,330,0.14,500,13
2026-01-19,US,tier1,39,4.4,4.1,285,0.11,600,8
2026-01-20,DE,tier1,44,4.6,4.3,268,0.08,395,6
2026-02-01,UK,tier1,34,4.2,3.9,318,0.13,480,11
2026-02-02,UK,tier2,30,4.0,3.7,325,0.15,495,13
2026-02-03,US,tier1,41,4.5,4.2,278,0.1,630,8
2026-02-04,CZ,tier1,24,3.9,3.6,338,0.17,295,13
2026-02-05,DE,tier1,46,4.7,4.4,260,0.07,405,5
2026-02-06,UK,tier1,36,4.3,4.0,308,0.12,510,10
2026-02-07,UK,tier1,8,3.1,2.8,435,0.28,780,40
2026-02-08,UK,tier1,31,4.1,3.8,320,0.13,450,12
