interaction_id,channel,source_system,created_ts,lang,market,author,raw_text,audio_path,pii_masked_text,meta_json
IID-000001,chat,demo,2026-02-10T03:00:00+00:00,en,UK,customer_00001,My IQOS device keeps overheating after just 5 minutes of use. This is really frustrating! I've only had it for 2 months.,,My IQOS device keeps overheating after just 5 minutes of use. This is really frustrating! I've only had it for 2 months.,"{""topics"": [""THEME_DEVICE_HEATING""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000002,email,demo,2026-01-18T07:00:00+00:00,en,US,customer_00002,The battery on my device drains incredibly fast - barely lasts through 3 uses before needing a recharge. Very disappointing quality.,,The battery on my device drains incredibly fast - barely lasts through 3 uses before needing a recharge. Very disappointing quality.,"{""topics"": [""THEME_BATTERY_CHARGE""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000003,call,demo,2026-02-17T03:00:00+00:00,en,UK,customer_00003,My device stopped working completely after 6 months. It just won't turn on anymore. I need a replacement urgently!,,My device stopped working completely after 6 months. It just won't turn on anymore. I need a replacement urgently!,"{""topics"": [""THEME_DEVICE_BREAKAGE""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000004,review,demo,2026-01-28T01:00:00+00:00,en,DE,customer_00004,"Great product, no heating issues at all after 3 months. Works consistently and battery life has been excellent.",,"Great product, no heating issues at all after 3 months. Works consistently and battery life has been excellent.","{""topics"": [""THEME_DEVICE_HEATING""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000005,chat,demo,2026-01-14T07:00:00+00:00,en,IT,customer_00005,My IQOS device broke within the first week. Screen cracked without any impact. Very poor build quality!,,My IQOS device broke within the first week. Screen cracked without any impact. Very poor build quality!,"{""topics"": [""THEME_DEVICE_BREAKAGE""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000006,call,demo,2026-01-13T22:00:00+00:00,en,US,customer_00006,Device heating up much more than before after the last firmware update. Has anyone else experienced this?,,Device heating up much more than before after the last firmware update. Has anyone else experienced this?,"{""topics"": [""THEME_DEVICE_HEATING""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000007,chat,demo,2026-01-29T18:00:00+00:00,en,UK,customer_00007,The HEETS tobacco sticks are completely out of stock in all nearby stores and online. When will they be back?,,The HEETS tobacco sticks are completely out of stock in all nearby stores and online. When will they be back?,"{""topics"": [""THEME_CONSUMABLES_AVAILABILITY"", ""THEME_OOS_STOCK""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000008,review,demo,2026-02-18T05:00:00+00:00,en,US,customer_00008,Flavor has completely changed! The tropical menthol used to taste great but now it's totally different. Major quality issue.,,Flavor has completely changed! The tropical menthol used to taste great but now it's totally different. Major quality issue.,"{""topics"": [""THEME_FLAVOR_QUALITY""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorB""}"
IID-000009,email,demo,2026-01-18T04:00:00+00:00,en,UK,customer_00009,Really happy with the consistency of the amber flavor sticks. Every pack tastes exactly the same - excellent quality control!,,Really happy with the consistency of the amber flavor sticks. Every pack tastes exactly the same - excellent quality control!,"{""topics"": [""THEME_FLAVOR_QUALITY""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorB""}"
IID-000010,call,demo,2026-01-07T02:00:00+00:00,en,UK,customer_00010,I need to understand the warranty policy. My device broke and I want to know what I'm entitled to as a replacement.,,I need to understand the warranty policy. My device broke and I want to know what I'm entitled to as a replacement.,"{""topics"": [""THEME_REPLACEMENT_WARRANTY""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000011,chat,demo,2026-01-23T11:00:00+00:00,en,DE,customer_00011,Excellent warranty service! Replacement device arrived within 2 days. The process was smooth and the agent was very helpful.,,Excellent warranty service! Replacement device arrived within 2 days. The process was smooth and the agent was very helpful.,"{""topics"": [""THEME_REPLACEMENT_WARRANTY""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000012,email,demo,2026-02-16T14:00:00+00:00,en,US,customer_00012,My warranty claim has been pending for 3 weeks now with no update. This is completely unacceptable! I demand a resolution immediately.,,My warranty claim has been pending for 3 weeks now with no update. This is completely unacceptable! I demand a resolution immediately.,"{""topics"": [""THEME_REPLACEMENT_WARRANTY""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorB""}"
IID-000013,nps,demo,2026-01-06T17:00:00+00:00,en,UK,customer_00013,The agent was incredibly empathetic and took time to understand my problem. Best customer service experience I've had!,,The agent was incredibly empathetic and took time to understand my problem. Best customer service experience I've had!,"{""topics"": [""THEME_AGENT_EMPATHY""], ""nps_score"": 4, ""queue"": ""tier2"", ""vendor"": ""vendorC""}"
IID-000014,call,demo,2026-01-13T22:00:00+00:00,en,US,customer_00014,Agent was very rude and dismissive. Didn't listen to my issue at all. Had to repeat myself 3 times. Very poor experience.,,Agent was very rude and dismissive. Didn't listen to my issue at all. Had to repeat myself 3 times. Very poor experience.,"{""topics"": [""THEME_AGENT_EMPATHY""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
